first,second,third
jump,jumped,jumped
kick,kicked,kicked
kill,killed,killed
kiss,kissed,kissed
kneel,knelt,knelt
knit,knitted,knitted
knock,knocked,knocked
knot,knotted,knotted
label,labelled,labelled
land,landed,landed
last,lasted,lasted
laugh,laughed,laughed
launch,launched,launched
level,levelled,levelled
license,licensed,licensed
lick,licked,licked
lighten,lightened,lightened
like,liked,liked
list,listed,listed
listen,listened,listened
live,lived,lived
load,loaded,loaded
lock,locked,locked
long,longed,longed
look,looked,looked
love,loved,loved
man,manned,manned
manage,managed,managed
march,marched,marched
mark,marked,marked
marry,married,married
match,matched,matched
mate,mated,mated
matter,mattered,mattered
measure,measured,measured
meddle,meddled,meddled
melt,melted,melted
memorise,memorised,memorised
mend,mended,mended
mess up,messed up,messed up
milk,milked,milked
mine,mined,mined
miss,missed,missed
mix,mixed,mixed
moan,moaned,moaned
moor,moored,moored
mourn,mourned,mourned
move,moved,moved
muddle,muddled,muddled
mug,mugged,mugged
multiply,multiplied,multiplied
murder,murdered,murdered
nail,nailed,nailed
name,named,named
need,needed,needed
nest,nested,nested
nod,nodded,nodded
note,noted,noted
notice,noticed,noticed
number,numbered,numbered
obey,obeyed,obeyed
object,objected,objected
observe,observed,observed
obtain,obtained,obtained
occur,occurred,occurred
offend,offended,offended
offer,offered,offered
open,opened,opened
order,ordered,ordered
overflow,overflowed,overflowed
owe,owed,owed
own,owned,owned
pack,packed,packed
paddle,paddled,paddled
paint,painted,painted
park,parked,parked
part,parted,parted
pass,passed,passed
paste,pasted,pasted
pat,patted,patted
pause,paused,paused
peck,pecked,pecked
pedal,pedalled,pedalled
peel,peeled,peeled
peep,peeped,peeped
perform,performed,performed
permit,permitted,permitted
phone,phoned,phoned
pick,picked,picked
pinch,pinched,pinched
pine,pined,pined
place,placed,placed
plan,planned,planned
plant,planted,planted
play,played,played
please,pleased,pleased
plug,plugged,plugged
point,pointed,pointed
poke,poked,poked
polish,polished,polished
pop,popped,popped
possess,possessed,possessed
post,posted,posted
pour,poured,poured
practise,practised,practised
pray,prayed,prayed
preach,preached,preached
precede,preceded,preceded
prefer,preferred,preferred
prepare,prepared,prepared
present,presented,presented
preserve,preserved,preserved
press,pressed,pressed
pretend,pretended,pretended
prevent,prevented,prevented
prick,pricked,pricked
print,printed,printed
produce,produced,produced
program,programmed,programmed
promise,promised,promised
protect,protected,protected
provide,provided,provided
pull,pulled,pulled
pump,pumped,pumped
punch,punched,punched
puncture,punctured,punctured
punish,punished,punished
question,questioned,questioned
queue,queued,queued
race,raced,raced
radiate,radiated,radiated
rain,rained,rained
raise,raised,raised
reach,reached,reached
realise,realised,realised
receive,received,received
recognise,recognised,recognised
record,recorded,recorded
reduce,reduced,reduced
reflect,reflected,reflected
refuse,refused,refused
regret,regretted,regretted
reign,reigned,reigned
reject,rejected,rejected
rejoice,rejoiced,rejoiced
relax,relaxed,relaxed
release,released,released
rely,relied,relied
remain,remained,remained
remember,remembered,remembered
remind,reminded,reminded
remove,removed,removed
repair,repaired,repaired
repeat,repeated,repeated
replace,replaced,replaced
reply,replied,replied
report,reported,reported
reproduce,reproduced,reproduced
request,requested,requested
rescue,rescued,rescued
retire,retired,retired
rhyme,rhymed,rhymed
rinse,rinsed,rinsed
risk,risked,risked
rob,robbed,robbed
rock,rocked,rocked
roll,rolled,rolled
rot,rotted,rotted
rub,rubbed,rubbed
ruin,ruined,ruined
rule,ruled,ruled
rush,rushed,rushed
sack,sacked,sacked
sail,sailed,sailed
satisfy,satisfied,satisfied
save,saved,saved
saw,sawed,sawed
scare,scared,scared
scatter,scattered,scattered
scold,scolded,scolded
scorch,scorched,scorched
scrape,scraped,scraped
scratch,scratched,scrashed
scream,screamed,screamed
screw,screwed,screwed
scribble,scribbled,scribbled
scrub,scrubbed,scrubbed
seal,sealed,sealed
search,searched,searched
separate,separated,separated
serve,served,served
settle,settled,settled
shade,shaded,shaded
share,shared,shared
shave,shaved,shaved
shelter,sheltered,sheltered
shiver,shivered,shivered
shock,shocked,shocked
shop,shopped,shopped
shrug,shrugged,shrugged
sigh,sighed,sighed
sign,signed,signed
signal,signalled,signalled
sin,sinned,sinned
sip,sipped,sipped
ski,skied,skied
skip,skipped,skipped
slap,slapped,slapped
slip,slipped,slipped
slow,slowed,slowed
smash,smashed,smashed
smell,smelled,smelled
smile,smiled,smiled
smoke,smoked,smoked
snatch,snatched,snatched
sneeze,sneezed,sneezed
sniff,sniffed,sniffed
snore,snored,snored
snow,snowed,snowed
soak,soaked,soaked
soothe,soothed,soothed
sound,sounded,sounded
spare,spared,spared
spark,sparked,sparked
sparkle,sparkled,sparkled
spell,spelled,spelled
spill,spilled,spilled
spoil,spoiled,spoiled
spot,spotted,spotted
spray,sprayed,sprayed
sprout,sprouted,sprounted
squash,squashed,squashed
squeak,squeaked,squeaked
squeal,squealed,squealed
squeeze,squeezed,squeezed
stain,stained,stained
stamp,stamped,stamped
stare,stared,stared
start,started,started
stay,stayed,stayed
steer,steered,steered
step,stepped,stepped
stir,stirred,stirred
stitch,stitched,stitched
stop,stopped,stopped
store,stored,stored
strap,strapped,strapped
strengthen,strengthened,strengthened
stretch,stretched,stretched
strip,stripped,stripped
stroke,stroked,stroked
stuff,stuffed,stuffed
subtract,subtracted,subtracted
succeed,succeeded,succeeded
suck,sucked,sucked
suffer,suffered,suffered
suggest,suggested,suggested
suit,suited,suited
supply,supplied,supplied
support,supported,supported
suppose,supposed,supposed
surprise,surprised,surprised
surround,surrounded,surrounded
suspect,suspected,suspected
suspend,suspended,suspended
switch,switched,switched
talk,talked,talked
tame,tamed,tamed
tap,tapped,tapped
taste,tasted,tasted
tease,teased,teased
telephone,telephoned,telephoned
tempt,tempted,tempted
terrify,terrified,terrified
test,tested,tested
thank,thanked,thanked
thaw,thawed,thawed
tick,ticked,ticked
tickle,tickled,tickled
tie,tied,tied
time,timed,timed
tip,tipped,tipped
touch,touched,touched
tour,toured,toured
tow,towed,towed
trace,traced,traced
trade,traded,traded
train,trained,trained
transport,transported,transported
trap,trapped,trapped
travel,travelled,travelled
treat,treated,treated
tremble,trembled,trembled
trick,tricked,tricked
trip,tripped,tripped
trot,trotted,trotted
trouble,troubled,troubled
trust,trusted,trusted
try,tried,tried
tug,tugged,tugged
tumble,tumbled,tumbled
turn,turned,turned
twist,twisted,twisted
type,typed,typed
undress,undressed,undressed
unfasten,unfastened,unfastened
unite,united,united
unlock,unlocked,unlocked
unpack,unpacked,unpacked
use,used,used
vanish,vanished,vanished
visit,visited,visited
wail,wailed,wailed
wait,waited,waited
walk,walked,walked
wander,wandered,wandered
want,wanted,wanted
warm,warmed,warmed
warn,warned,warned
wash,washed,washed
waste,wasted,wasted
watch,watched,watched
water,watered,watered
wave,waved,waved
weigh,weighed,weighed
welcome,welcomed,welcomed
whine,whined,whined
whip,whipped,whipped
whirl,whirled,whirled
whisper,whispered,whispered
whistle,whistled,whistled
wink,winked,winked
wipe,wiped,wiped
wish,wished,wished
wobble,wobbled,wobbled
wonder,wondered,wondered
work,worked,worked
worry,worried,worried
wrap,wrapped,wrapped
wreck,wrecked,wrecked
wrestle,wrestled,wrestled
wriggle,wriggled,wriggled
yawn,yawned,yawned
yell,yelled,yelled
zip,zipped,zipped
zoom,zoomed,zoomed
abide,abode,abode
alight,alit,alit
beget,begot,begotten
beset,beset,beset
betake,betook,betaken
bid,bid/bade,bid/bidden
chide,chid,chidden
cleave,clove,cloven
clothe,clad,clad
dwell,dwelt,dwelt
flee,fled,fled
fling,flung,flung
forbear,forbore,forborne
forsake,forsook,forsaken
gird,girt,girt
hew,hewed,hewn
interweave,interwove,interwoven
kneel,knelt,knelt
lade,laded,laden
leap,leapt,leapt
mow,mowed,mown
plead,pled,pled
prove,proved,proven
quit,quit,quit
rid,rid,rid
saw,sawed,sawn
seek,sought,sought
sew,sewed,sewn
shear,shore,shorn
shed,shed,shed
shoe,shod,shod
shred,shred,shred
shrink,shrank,shrunk
shrive,shrove,shriven
slay,slew,slain
sling,slung,slung
slink,slunk,slunk
slit,slit,slit
smite,smote,smitten
sow,sowed,sown
speed,sped,sped
spin,spun,spun
spring,sprang,sprung
stave,stove,stove
strew,strewed,strewn
stride,strode,stridden
strive,strove,striven
sublet,sublet,sublet
swell,swelled,swollen
thrust,thrust,thrust
tread,trod,trodden
weave,wove,woven
wed,wed,wed
weep,wept,wept
wend,went,went
wet,wet,wet
wring,wrung,wrung
abash,abashed,abashed
abate,abated,abated
abbreviate,abbreviated,abbreviated
abdicate,abdicated,abdicated
abduct,abducted,abducted
abhor,abhorred,abhorred
abolish,abolished,abolished
abound,abounded,abounded
abridge,abridged,abridged
abscond,absconded,absconded
absolve,absolved,absolved
absorb,absorbed,absorbed
abstain,abstained,abstained
abuse,abused,abused
accede,acceded,acceded
accelerate,accelerated,accelerated
accentuate,accentuated,accentuated
acclaim,acclaimed,acclaimed
accommodate,accommodated,accommodated
accompany,accompanied,accompanied
accomplish,accomplished,accomplished
accord,accorded,accorded
account,accounted,accounted
accrue,accrued,accrued
accumulate,accumulated,accumulated
accuse,accused,accused
accustom,accustomed,accustomed
achieve,achieved,achieved
acidify,acidified,acidified
acknowledge,acknowledged,acknowledged
acquaint,acquainted,acquainted
acquiesce,acquiesced,acquiesced
acquire,acquired,acquired
acquit,acquitted,acquitted
activate,activated,activated
actualize,actualized,actualized
actuate,actuated,actuated
adapt,adapted,adapted
adhere,adhered,adhered
adjoin,adjoined,adjoined
adjourn,adjourned,adjourned
adjudge,adjudged,adjudged
adjure,adjured,adjured
adjust,adjusted,adjusted
administer,administered,administered
admonish,admonished,admonished
adopt,adopted,adopted
adorn,adorned,adorned
adulterate,adulterated,adulterated
advance,advanced,advanced
advertise,advertised,advertised
advocate,advocated,advocated
affect,affected,affected
affiliate,affiliated,affiliated
affirm,affirmed,affirmed
affix,affixed,affixed
afflict,afflicted,afflicted
age,aged,aged
agglomerate,agglomerated,agglomerated
aggrandize,aggrandized,aggrandized
aggravate,aggravated,aggravated
aggregate,aggregated,aggregated
aggress,aggressed,aggressed
agitate,agitated,agitated
agonize,agonized,agonized
aid,aided,aided
ail,ailed,ailed
aim,aimed,aimed
air,aired,aired
airdrop,airdropped,airdropped
airlift,airlifted,airlifted
alarm,alarmed,alarmed
alienate,alienated,alienated
align,aligned,aligned
allege,alleged,alleged
alleviate,alleviated,alleviated
allocate,allocated,allocated
allot,allotted,allotted
allude,alluded,alluded
ally,allied,allied
alphabetize,alphabetized,alphabetized
alter,altered,altered
alternate,alternated,alternated
amalgamate,amalgamated,amalgamated
amass,amassed,amassed
amaze,amazed,amazed
amble,ambled,ambled
ambush,ambushed,ambushed
amend,amended,amended
amount,amounted,amounted
amplify,amplified,amplified
amputate,amputated,amputated
anchor,anchored,anchored
anger,angered,angered
angle,angled,angled
annex,annexed,annexed
annihilate,annihilated,annihilated
annotate,annotated,annotated
annul,annulled,annulled
anoint,anointed,anointed
antagonize,antagonized,antagonized
anticipate,anticipated,anticipated
ape,aped,aped
appeal,appealed,appealed
appease,appeased,appeased
append,appended,appended
appertain,appertained,appertained
applaud,applauded,applauded
apply,applied,applied
appoint,appointed,appointed
apportion,apportioned,apportioned
appraise,appraised,appraised
apprehend,apprehended,apprehended
approach,approached,approached
appropriate,appropriated,appropriated
arbitrate,arbitrated,arbitrated
archive,archived,archived
arise,arose,arisen
arm,armed,armed
arouse,aroused,aroused
arraign,arraigned,arraigned
array,arrayed,arrayed
articulate,articulated,articulated
ascend,ascended,ascended
ascertain,ascertained,ascertained
ascribe,ascribed,ascribed
aspire,aspired,aspired
assail,assailed,assailed
assassinate,assassinated,assassinated
assault,assaulted,assaulted
assay,assayed,assayed
assemble,assembled,assembled
assent,assented,assented
assert,asserted,asserted
assess,assessed,assessed
assign,assigned,assigned
assimilate,assimilated,assimilated
assist,assisted,assisted
associate,associated,associated
assuage,assuaged,assuaged
assume,assumed,assumed
assure,assured,assured
astonish,astonished,astonished
astound,astounded,astounded
atone,atoned,atoned
atrophy,atrophied,atrophied
attach,attached,attached
attain,attained,attained
attend,attended,attended
attest,attested,attested
attire,attired,attired
attract,attracted,attracted
attribute,attributed,attributed
auction,auctioned,auctioned
audit,audited,audited
augment,augmented,augmented
augur,augured,augured
authenticate,authenticated,authenticated
author,authored,authored
authorize,authorized,authorized
autograph,autographed,autographed
avail,availed,availed
avenge,avenged,avenged
average,averaged,averaged
avert,averted,averted
avow,avowed,avowed
await,awaited,awaited
awaken,awakened,awakened
award,awarded,awarded
babble,babbled,babbled
badger,badgered,badgered
baffle,baffled,baffled
bail,bailed,bailed
bait,baited,baited
banish,banished,banished
bank,banked,banked
bankrupt,bankrupted,bankrupted
banter,bantered,bantered
bar,barred,barred
barb,barbed,barbed
bare,bared,bared
bargain,bargained,bargained
barge,barged,barged
bark,barked,barked
barrage,barraged,barraged
barter,bartered,bartered
base,based,based
bash,bashed,bashed
bask,basked,basked
baste,basted,basted
bat,batted,batted
batter,battered,battered
bawl,bawled,bawled
bead,beaded,beaded
beam,beamed,beamed
becloud,beclouded,beclouded
becalm,becalmed,becalmed
beckon,beckoned,beckoned
bedazzle,bedazzled,bedazzled
bedeck,bedecked,bedecked
befall,befell,befallen
befit,befitted,befitted
befog,befogged,befogged
befriend,befriended,befriended
begrudge,begrudged,begrudged
beguile,beguiled,beguiled
behead,beheaded,beheaded
behold,beheld,beheld
belabor,belabored,belabored
belch,belched,belched
belie,belied,belied
believe,believed,believed
belittle,belittled,belittled
bellow,bellowed,bellowed
bellyache,bellyached,bellyached
bemoan,bemoaned,bemoaned
bemuse,bemused,bemused
bequeath,bequeathed,bequeathed
berate,berated,berated
bereave,bereft,bereft
beseech,besought,besought
besiege,besieged,besieged
besmirch,besmirched,besmirched
bestow,bestowed,bestowed
betray,betrayed,betrayed
betroth,betrothed,betrothed
better,bettered,bettered
bevel,beveled,beveled
bewail,bewailed,bewailed
bewilder,bewildered,bewildered
bewitch,bewitched,bewitched
bicker,bickered,bickered
bill,billed,billed
bilk,bilked,bilked
billow,billowed,billowed
blacken,blackened,blackened
blame,blamed,blamed
blanch,blanched,blanched
blandish,blandished,blandished
blanket,blanketed,blanketed
blare,blared,blared
blaspheme,blasphemed,blasphemed
blast,blasted,blasted
blaze,blazed,blazed
bleat,bleated,bleated
blemish,blemished,blemished
blench,blenched,blenched
blend,blended,blended
blight,blighted,blighted
blimp,blimped,blimped
blinker,blinkered,blinkered
bliss,blissed,blissed
blister,blistered,blistered
blitz,blitzed,blitzed
bloat,bloated,bloated
block,blocked,blocked
blockade,blockaded,blockaded
bloom,bloomed,bloomed
blossom,blossomed,blossomed
blunder,blundered,blundered
blunt,blunted,blunted
blur,blurred,blurred
blurt,blurted,blurted
board,boarded,boarded
bob,bobbed,bobbed
bode,boded,boded
boggle,boggled,boggled
bog,bogged,bogged
bolster,bolstered,bolstered
bolt,bolted,bolted
bombard,bombarded,bombarded
bond,bonded,bonded
bonk,bonked,bonked
boo,booed,booed
boom,boomed,boomed
boost,boosted,boosted
boot,booted,booted
border,bordered,bordered
boss,bossed,bossed
botch,botched,botched
bother,bothered,bothered
bottle,bottled,bottled
bottom,bottomed,bottomed
bound,bounded,bounded
boycott,boycotted,boycotted
brace,braced,braced
brag,bragged,bragged
braid,braided,braided
brand,branded,branded
brandish,brandished,brandished
brawl,brawled,brawled
bray,brayed,brayed
breach,breached,breached
bribe,bribed,bribed
bridge,bridged,bridged
bridle,bridled,bridled
brief,briefed,briefed
brighten,brightened,brightened
brim,brimmed,brimmed
bristle,bristled,bristled
broach,broached,broached
broaden,broadened,broadened
browbeat,browbeat,browbeaten
browse,browsed,browsed
brunt,brunted,brunted
buck,bucked,bucked
buckle,buckled,buckled
bud,budded,budded
budge,budged,budged
budget,budgeted,budgeted
buff,buffed,buffed
bug,bugged,bugged
bulge,bulged,bulged
bulk,bulked,bulked
bulldoze,bulldozed,bulldozed
bully,bullied,bullied
bumble,bumbled,bumbled
bungle,bungled,bumbled
bunk,bunked,bunked
buoy,buoyed,buoyed
burden,burdened,burdened
burgeon,burgeoned,burgeoned
burnish,burnished,burnished
burrow,burrowed,burrowed
bust,busted,busted
bustle,bustled,bustled
butcher,butchered,butchered
butt,butted,butted
butter,buttered,buttered
button,buttoned,buttoned
buttress,buttressed,buttressed
bypass,bypassed,bypassed
cackle,cackled,cackled
cajole,cajoled,cajoled
cake,caked,caked
calm,calmed,calmed
calve,calved,calved
canvass,canvassed,canvassed
cap,capped,capped
capitalize,capitalized,capitalized
capitulate,capitulated,capitulated
capsize,capsized,capsized
captivate,captivated,captivated
capture,captured,captured
careen,careened,careened
caress,caressed,caressed
caricature,caricatured,caricatured
carol,caroled,caroled
carom,caromed,caromed
carouse,caroused,caroused
carp,carped,carped
cascade,cascaded,cascaded
cash,cashed,cashed
cashier,cashiered,cashiered
castigate,castigated,castigated
catalog,cataloged,cataloged
catapult,catapulted,catapulted
cater,catered,catered
caterwaul,caterwauled,caterwauled
caulk,caulked,caulked
cavort,cavorted,cavorted
caw,cawed,cawed
cease,ceased,ceased
cede,ceded,ceded
celebrate,celebrated,celebrated
censor,censored,censored
censure,censured,censured
center,centered,centered
centralize,centralized,centralized
chafe,chafed,chafed
chain,chained,chained
chair,chaired,chaired
chalk,chalked,chalked
champion,championed,championed
channel,channeled,channeled
chant,chanted,chanted
char,charred,charred
characterize,characterized,characterized
charm,charmed,charmed
chart,charted,charted
charter,chartered,chartered
chasten,chastened,chastened
chastise,chastised,chastised
chat,chatted,chatted
chatter,chattered,chattered
cheapen,cheapened,cheapened
cherish,cherished,cherished
chirp,chirped,chirped
chisel,chiseled,chiseled
chitter,chittered,chittered
chlorinate,chlorinated,chlorinated
chortle,chortled,chortled
chronicle,chronicled,chronicled
chuck,chucked,chucked
chuckle,chuckled,chucked
cinch,cinched,cinched
circle,circled,circled
circulate,circulated,circulated
circumscribe,circumscribed,circumscribed
circumvent,circumvented,circumvented
cite,cited,cited
civilize,civilized,civilized
clamber,clambered,clambered
clamor,clamored,clamored
clamp,clamped,clamped
clank,clanked,clanked
clarify,clarified,clarified
clash,clashed,clashed
clasp,clasped,clasped
classify,classified,classified
clatter,clattered,clattered
clench,clenched,clenched
climax,climaxed,climaxed
climb,climbed,climbed
clinch,clinched,clinched
cloak,cloaked,cloaked
clobber,clobbered,clobbered
clock,clocked,clocked
clog,clogged,clogged
clone,cloned,cloned
clout,clouted,clouted
clown,clowned,clowned
cloy,cloyed,cloyed
club,clubbed,clubbed
cluck,clucked,clucked
clue,clued,clued
clump,clumped,clumped
cluster,clustered,clustered
clutch,clutched,clutched
clutter,cluttered,cluttered
coalesce,coalesced,coalesced
coarsen,coarsened,coarsened
coast,coasted,coasted
coat,coated,coated
coax,coaxed,coaxed
cobble,cobbled,cobbled
cock,cocked,cocked
coddle,coddled,coddled
code,coded,coded
codify,codified,codified
coerce,coerced,coerced
coexist,coexisted,coexisted
cogitate,cogitated,cogitated
cohabit,cohabited,cohabited
cohere,cohered,cohered
coiffure,coiffured,coiffured
coin,coined,coined
coincide,coincided,coincided
collaborate,collaborated,collaborated
collapse,collapsed,collapsed
collar,collared,collared
collate,collated,collated
collide,collided,collided
collude,colluded,colluded
colonize,colonized,colonized
colorize,colorized,colorized
combust,combusted,combusted
comfit,comfited,comfited
comfort,comforted,comforted
commemorate,commemorated,commemorated
commence,commenced,commenced
commend,commended,commended
comment,commented,commented
commercialize,commercialized,commercialized
commiserate,commiserated,commiserated
commission,commissioned,commissioned
commit,committed,committed
commune,communed,communed
commute,commuted,commuted
compact,compacted,compacted
company,companied,companied
compel,compelled,compelled
compensate,compensated,compensated
compile,compiled,compiled
complement,complemented,complementary
complicate,complicated,complicated
compliment,complimented,complimented
comply,complied,complied
comport,comported,comported
compose,composed,composed
compound,compounded,compounded
comprehend,comprehended,comprehended
compress,compressed,compressed
comprise,comprised,comprised
compromise,compromised,compromised
compute,computed,computed
computerize,computerized,computerized
con,conned,conned
conceal,concealed,concealed
